#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1280 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:92 out:89 type:P dur:2 cpbdur:2 q:43.68 aq:39.25 tex:94191 mv:18543 misc:1682 imb:2378 pmb:564 smb:658 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:43.66 aq:44.12 tex:3765 mv:3866 misc:2049 imb:13 pmb:500 smb:3087 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:43.65 aq:43.58 tex:9395 mv:10481 misc:2980 imb:354 pmb:779 smb:2467 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:43.67 aq:45.87 tex:672 mv:1708 misc:1308 imb:8 pmb:240 smb:3352 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:43.83 aq:42.35 tex:10262 mv:7706 misc:2528 imb:434 pmb:478 smb:2688 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:43.75 aq:43.00 tex:3581 mv:3334 misc:2037 imb:19 pmb:496 smb:3085 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:43.72 aq:46.38 tex:247 mv:321 misc:512 imb:2 pmb:50 smb:3548 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:43.79 aq:43.54 tex:722 mv:1527 misc:1375 imb:13 pmb:269 smb:3318 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:43.39 aq:41.89 tex:28081 mv:11964 misc:2563 imb:1689 pmb:351 smb:1560 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:43.28 aq:40.94 tex:34952 mv:14957 misc:2411 imb:1844 pmb:529 smb:1227 d:- ref:0 ;
in:102 out:99 type:P dur:2 cpbdur:2 q:43.34 aq:39.44 tex:76637 mv:20170 misc:2201 imb:1808 pmb:921 smb:871 d:- ref:0 ;
in:100 out:100 type:B dur:2 cpbdur:2 q:43.31 aq:42.41 tex:9612 mv:9252 misc:2736 imb:240 pmb:763 smb:2597 d:- ref:0 ;
in:99 out:101 type:b dur:2 cpbdur:2 q:43.29 aq:43.61 tex:5263 mv:7402 misc:2655 imb:124 pmb:734 smb:2742 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:43.32 aq:45.11 tex:2065 mv:3856 misc:1631 imb:53 pmb:340 smb:3207 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:43.44 aq:40.26 tex:41710 mv:13877 misc:3101 imb:854 pmb:1133 smb:1613 d:- ref:0 ;
in:104 out:104 type:B dur:2 cpbdur:2 q:43.39 aq:43.80 tex:5212 mv:6897 misc:2459 imb:112 pmb:651 smb:2837 d:- ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:43.36 aq:44.51 tex:2592 mv:4096 misc:1736 imb:55 pmb:371 smb:3174 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:43.42 aq:44.69 tex:2340 mv:3549 misc:1551 imb:45 pmb:325 smb:3230 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:42.96 aq:40.21 tex:37372 mv:13281 misc:2979 imb:789 pmb:1087 smb:1724 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:43.20 aq:43.38 tex:8821 mv:7609 misc:2386 imb:119 pmb:695 smb:2786 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:43.32 aq:45.80 tex:1639 mv:3060 misc:1333 imb:32 pmb:277 smb:3291 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:43.08 aq:44.95 tex:1988 mv:3257 misc:1563 imb:33 pmb:321 smb:3246 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:42.95 aq:40.47 tex:45643 mv:14408 misc:3069 imb:853 pmb:1170 smb:1577 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:42.95 aq:43.57 tex:5993 mv:7189 misc:2474 imb:140 pmb:630 smb:2830 d:- ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:42.95 aq:43.84 tex:2815 mv:4292 misc:1741 imb:47 pmb:384 smb:3169 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:42.95 aq:44.94 tex:2638 mv:3516 misc:1478 imb:36 pmb:308 smb:3256 d:- ref:0 ;
